epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,341.578,0.56935,0.97652,0.51836,0.97211,0.9093,0.89971,0.95483,0.84337,0.9063,0.8619,0.91843,0.7805,0.52691,1.41159,0.5596,0.95811,0.00453258,0.00453258,0.00453258
82,346.098,0.54621,0.95179,0.50269,0.95579,0.93849,0.88895,0.96225,0.83771,0.91474,0.8658,0.91834,0.79267,0.47895,1.44261,0.57631,0.93846,0.0044296,0.0044296,0.0044296
83,354.285,0.55821,0.87922,0.51769,0.97838,0.94486,0.82225,0.95231,0.83118,0.91856,0.81117,0.918,0.7844,0.4675,1.4683,0.60469,0.93991,0.00432689,0.00432689,0.00432689
84,358.718,0.52849,0.88577,0.48307,0.97423,0.94074,0.84841,0.9528,0.82516,0.88179,0.86326,0.92498,0.78728,0.49345,1.50063,0.58696,0.95031,0.00422449,0.00422449,0.00422449
85,365.618,0.51968,0.83583,0.47921,0.9652,0.89805,0.93459,0.95127,0.81964,0.87987,0.91298,0.92438,0.78689,0.46768,1.40215,0.54955,0.95045,0.00412246,0.00412246,0.00412246
86,371.763,0.53099,0.9115,0.50043,0.96674,0.91041,0.94903,0.95205,0.82472,0.89427,0.92997,0.92609,0.78693,0.45833,1.35855,0.5338,0.95332,0.00402084,0.00402084,0.00402084
87,375.719,0.50757,0.88245,0.46788,0.95888,0.89357,0.96473,0.95622,0.83441,0.87763,0.91612,0.92888,0.79022,0.47186,1.29821,0.52636,0.95446,0.00391966,0.00391966,0.00391966
88,380.62,0.5272,0.97094,0.48623,0.977,0.91041,0.9554,0.96538,0.8291,0.87284,0.91466,0.93061,0.79853,0.48998,1.22422,0.5364,0.95942,0.00381899,0.00381899,0.00381899
89,384.471,0.51838,0.89067,0.47664,0.95266,0.91121,0.96499,0.9683,0.84661,0.87533,0.92384,0.93304,0.8084,0.46139,1.27624,0.49556,0.94484,0.00371885,0.00371885,0.00371885
90,388.536,0.53394,0.9376,0.48022,0.968,0.89201,0.97683,0.97269,0.8555,0.86097,0.94295,0.94071,0.80015,0.47191,1.34762,0.48115,0.94344,0.00361929,0.00361929,0.00361929
91,393.439,0.50033,0.87804,0.45985,0.94897,0.87839,0.97707,0.96454,0.84724,0.84793,0.94346,0.93753,0.8088,0.47196,1.28918,0.48484,0.93974,0.00352037,0.00352037,0.00352037
92,397.359,0.54864,0.9874,0.49799,0.96231,0.85699,0.96301,0.95694,0.83656,0.91657,0.84457,0.91239,0.79057,0.45027,1.2083,0.49377,0.93766,0.00342211,0.00342211,0.00342211
93,401.182,0.50622,0.86142,0.47171,0.94764,0.88139,0.92876,0.93365,0.83542,0.90784,0.84688,0.90743,0.7756,0.46258,1.29273,0.51838,0.94674,0.00332457,0.00332457,0.00332457
94,406.227,0.51977,0.94556,0.49631,0.96959,0.89373,0.91253,0.93113,0.82764,0.87487,0.89366,0.9171,0.78278,0.49151,1.31094,0.52604,0.95197,0.00322778,0.00322778,0.00322778
95,410.215,0.5285,0.90359,0.48293,0.96979,0.92648,0.92502,0.95814,0.83191,0.8962,0.89393,0.93133,0.81112,0.49184,1.26817,0.50725,0.95375,0.0031318,0.0031318,0.0031318
96,414.16,0.49198,0.85564,0.44985,0.93855,0.86699,0.94428,0.96251,0.85332,0.8806,0.87559,0.92975,0.79689,0.44722,1.309,0.48784,0.93682,0.00303665,0.00303665,0.00303665
97,419.222,0.51524,0.939,0.47737,0.97329,0.93464,0.94348,0.9717,0.85612,0.89798,0.90472,0.93454,0.79771,0.47326,1.33816,0.48787,0.93887,0.00294239,0.00294239,0.00294239
98,423.092,0.52402,0.94843,0.46522,0.96375,0.9394,0.95373,0.9711,0.85889,0.9148,0.92845,0.94378,0.80966,0.47101,1.42153,0.47665,0.9394,0.00284906,0.00284906,0.00284906
